sprint,var_ga,var_random,var_best,knowledge_ga,knowledge_random,knowledge_best,tf_ga,tf_random,tf_best
1,36.32,39,48,686.16,586,3193,8,5,2
2,71.48,84,176,1242.92,1261,14431,8,6,2
3,103.46,121,351,2094.24,1941,32714,9,6,2
4,129.13,151,492,2837.35,2559,56539,9,7,2
5,146.59,174,641,3321.43,3241,86365,9,6,2
6,157.5,196,831,3867.73,3925,122656,9,6,2
7,173.33,231,1059,4639.5,5184,173792,8,7,1
8,187.71,249,1241,5546.17,5705,221710,9,7,2
9,214.17,278,1461,6260.66,6913,295688,9,7,2
10,217.82,298,1641,6872.52,7477,360615,9,6,2
11,229.05,315,1802,7051.16,8459,436902,9,6,2
12,236.84,332,2009,7987.99,9534,523257,9,6,1
13,248.66,345,2164,7677.28,10473,612202,9,6,2
14,262.57,358,2321,8006.08,10944,711226,9,7,2
15,274.57,371,2553,8863.97,11899,822320,9,7,2
16,291.02,387,2846,9362.16,12860,946510,9,7,1
17,291.42,397,3049,9778,13725,1064377,9,6,1
18,299.58,411,3278,10379.05,14406,1211310,9,7,1
19,299.46,422,3470,11250.23,15125,1355078,9,6,1
20,302.09,442,3706,12176.13,15765,1516705,9,6,1
21,304.27,460,3867,12876.36,17026,1695981,9,6,1
22,306.25,464,4085,13534.62,18231,1852628,9,6,1
23,315.69,470,4301,14366.51,19194,2038505,9,6,1
24,321.87,474,4447,14868.46,20261,2233917,9,6,1
25,327.65,481,4510,15349.61,20565,2443480,9,6,1
26,329.24,484,4615,16076.08,21366,2660806,9,6,1
27,320.67,485,4740,16797.05,22433,2844916,9,6,1
28,325.97,492,4866,16885.32,23465,3072547,9,6,1
29,325.13,493,5017,18254.8,24863,3306895,9,7,1
30,313.45,491,5076,18982.32,25616,3523250,8,7,1
31,314.81,492,5159,20129.66,26031,3773915,9,7,1
32,315.1,491,5350,19741.47,26852,4012818,9,6,1
33,322.34,501,5467,21124.19,27646,4291059,9,6,1
34,328.57,505,5606,21128.28,28582,4582980,9,7,1
35,321.88,505,5678,21539.79,29456,4842857,9,7,1
36,329.11,512,5831,24000.9,30754,5151609,9,7,1
37,323.13,516,5838,23794.3,31060,5441022,9,7,1
38,323.05,505,5842,24316.29,31909,5684873,9,7,1
39,327.58,506,5922,24313.32,32279,5976124,9,7,1
40,342.4,511,6127,24851.08,33659,6326650,9,6,1
41,343.36,521,6338,26224.75,34663,6693795,8,7,1
42,334.37,516,6323,26738.66,34869,7003575,9,7,1
43,340.4,527,6341,27200.19,36212,7376898,9,7,1
44,332.01,524,6408,27894.7,37178,7723338,9,6,1
45,328.15,508,6224,27818.22,38018,8003055,9,7,1
46,331.08,507,6299,28849.82,38904,8389561,9,6,1
47,331.99,508,6403,29086.42,39452,8777817,9,6,1
48,328.79,503,6372,30087.3,40523,9114630,10,6,1
49,315.43,498,6279,30273.85,40655,9435228,9,6,1
50,320.76,509,6320,31376.94,41146,9862196,9,6,1
51,323.59,515,6295,32745.51,41652,10281490,9,6,1
52,337.62,521,6470,34057.56,42779,10718694,9,6,1
