sprint,var_ga,var_random,var_best,knowledge_ga,knowledge_random,knowledge_best,tf_ga,tf_random,tf_best
1,46.98,52,61,896.84,802,3954,6,4,2
2,73.64,92,167,1365.19,1495,14536,7,4,3
3,95.21,126,287,2100.43,2307,28908,6,5,3
4,130.74,163,437,2961.41,3164,54506,6,5,2
5,147.76,191,595,3716.35,3738,80150,7,5,2
6,176.75,231,769,4269.94,4914,121043,7,5,2
7,182.42,248,888,5307.18,5752,158219,7,5,1
8,198.46,282,1076,5874.48,6810,211742,6,5,1
9,214.37,303,1230,6752.6,7857,271147,7,5,1
10,232.21,334,1411,8172.54,8943,346138,7,5,1
11,238.84,353,1584,9346.66,9743,415940,7,5,1
12,239.47,362,1740,9570.44,10419,487767,7,5,1
13,239.19,364,1870,10230.17,11311,559302,7,5,1
14,248.58,376,1988,12178.15,12424,649019,7,5,1
15,260.98,393,2205,13292.4,13735,753136,7,5,1
16,271.64,405,2336,13881.24,14840,861633,6,5,1
17,263.97,416,2448,14322.83,15505,961754,7,5,1
18,270.03,428,2554,15078.98,16793,1081653,7,5,1
19,276.23,433,2700,16664.75,18008,1213800,7,5,1
20,273.66,435,2855,19538.44,18641,1335508,7,5,1
21,266.03,439,2925,21056.9,19584,1467888,7,6,1
22,277.16,450,3011,24008.07,20522,1623732,7,6,1
23,277.83,461,3063,25495.27,21761,1781757,7,6,1
24,285,473,3175,26926.03,23004,1961673,7,6,1
25,294.8,491,3410,28815.51,25159,2152287,7,5,1
26,293.44,494,3431,29164.81,26410,2312945,7,5,1
27,302.96,497,3424,29942.31,27394,2496097,7,5,1
28,300.39,498,3567,30210.41,27844,2659953,7,5,1
29,297.4,498,3564,32647.05,28725,2833533,7,5,1
30,306.6,516,3673,34099.04,31224,3065330,7,5,1
31,305.53,519,3768,37425.86,34044,3306587,7,5,1
32,303.54,520,4035,36952.92,34641,3511310,7,5,1
33,300.33,510,4046,37792.25,35603,3710368,7,5,1
34,280.07,496,3917,37386.84,35964,3902139,7,5,1
35,291.08,512,4013,38726.53,36467,4167177,7,5,1
36,291.28,513,4087,38414.6,36698,4379936,7,5,1
37,299.06,517,4230,37799.72,37325,4643546,7,5,1
38,304.58,519,4345,38040.6,37987,4900861,7,5,1
39,297.73,508,4324,36933.14,38790,5113728,7,5,1
40,301,518,4453,35608.55,40463,5413021,7,5,1
41,298.18,521,4480,37862.79,40851,5700116,7,5,1
42,296.59,523,4562,38406.35,42182,5986449,7,5,1
43,295.64,520,4552,40111.21,42840,6267647,7,5,1
44,295.03,518,4665,39942.01,43488,6580053,7,5,1
45,306.02,519,4721,42239.66,45727,6917012,7,5,1
46,304.11,519,4718,41254.47,46272,7207663,7,5,1
47,288.8,506,4634,41197.84,46116,7450496,7,6,1
48,285.29,502,4587,41381.11,46372,7730344,7,5,1
49,283.33,499,4567,42662.63,47244,8053199,7,5,1
50,294.18,516,4750,42346.11,48705,8425852,7,6,1
