sprint,var_ga,var_random,var_best,knowledge_ga,knowledge_random,knowledge_best,tf_ga,tf_random,tf_best
1,15.04,16,18,510.11,506,2589,6,4,2
2,31.38,33,63,1110.97,1190,11353,9,7,2
3,42.94,49,118,1509.98,1789,25762,8,8,2
4,51.44,59,160,1883.59,2232,44371,10,8,2
5,57.44,68,212,2228.01,2753,66916,9,8,2
6,64.2,77,269,2943.98,3236,96017,11,9,2
7,73.21,88,338,3586.57,3933,136111,10,8,2
8,77.11,95,389,4023.25,4471,173606,10,8,2
9,85.17,106,444,4963.53,5420,232474,11,8,2
10,87.31,111,490,5402.93,5904,283090,10,9,2
11,89.95,116,542,5905.24,6696,339932,10,8,2
12,95,121,593,6414.28,7410,408092,11,8,2
13,97.27,124,636,6868.71,7893,477162,11,9,2
14,100.63,130,672,7162.9,8596,555112,11,9,2
15,103.48,134,726,8156.23,9143,641751,10,9,2
16,108.26,141,772,8577.32,9693,743920,10,9,2
17,109.63,144,820,8859.74,10200,837790,10,9,2
18,114.69,148,890,8996.68,10849,951143,11,9,2
19,117.17,151,925,10050.04,11577,1064359,11,9,2
20,120.55,157,992,11027.21,12247,1189647,11,8,2
21,125.1,162,1055,11324.77,13058,1325245,11,8,2
22,124.21,163,1074,11866.32,13733,1453839,11,8,2
23,126.25,165,1112,12874.33,14653,1604190,11,8,2
24,128.88,169,1168,13402.43,15298,1751770,11,9,2
25,130.41,172,1219,13626.07,15899,1908187,11,9,2
26,129.54,173,1252,15167.27,16599,2075735,11,9,2
27,127.93,172,1267,15408.32,17425,2221631,11,9,2
28,128.86,173,1295,16841.97,18289,2401452,11,9,2
29,130.15,174,1326,17679.1,19196,2584040,11,9,2
30,127.73,172,1335,17857.91,20155,2752759,11,9,2
31,129.27,175,1359,19195.41,21057,2948046,11,9,2
32,128.51,176,1355,19790.43,21987,3146367,11,9,2
33,129.9,178,1373,20147.29,22429,3366123,11,9,2
34,132.66,181,1406,20991.6,23155,3595953,10,9,2
35,131.45,180,1433,20724.23,23550,3797886,11,9,2
36,135.19,184,1464,22132.82,24760,4038243,11,9,2
37,134.1,184,1473,22486.29,25460,4259800,11,9,2
38,129.97,180,1449,22966,25692,4456182,11,9,1
39,128.51,181,1461,23574.3,26528,4684866,11,9,1
40,131.97,184,1503,24365.23,27359,4961831,11,9,1
41,134.52,189,1538,24173.13,28309,5250900,11,9,1
42,135.19,187,1536,24995.03,28857,5492192,12,9,1
43,137.25,187,1568,25786.51,29710,5776736,11,9,1
44,137.01,186,1565,25695.58,30364,6054526,11,9,1
45,132.22,181,1527,26010.73,30856,6270453,10,9,1
46,135.92,182,1564,27169.27,30894,6569019,11,9,1
47,137.26,183,1594,27421.63,31626,6869850,11,8,1
48,134.83,181,1584,28251.49,32452,7129849,11,9,1
49,130.83,178,1551,29071.14,32069,7380800,11,9,1
50,132.28,180,1583,29221.93,32033,7706246,11,9,1
51,133.18,180,1609,30982.74,33021,8024619,11,9,1
52,134.12,183,1613,31925.64,33755,8378238,11,9,1
