sprint,var_ga,var_random,var_best,knowledge_ga,knowledge_random,knowledge_best,tf_ga,tf_random,tf_best
1,117,167,149,1022,1322,1955,1,1,1
2,173,300,336,1885,1903,4249,2,1,1
3,104,447,649,2011,3160,8809,2,1,1
4,127,494,901,3045,5016,17312,2,1,1
5,99,546,1165,5832,7594,27664,2,1,1
6,120,634,1316,6333,7938,36010,2,1,1
7,135,654,1462,6688,8544,44569,2,1,1
8,170,747,1651,9891,13053,64754,2,1,1
9,168,991,1483,10979,15045,87504,2,1,1
10,155,1036,1690,11318,15448,100646,2,1,1
11,204,1176,1805,14404,19915,130830,2,1,1
12,228,1189,1964,17005,21543,150543,2,1,1
